country,status,life_expectancy,adult_mortality,Alcohol,healthcoverage_percent,Hepatitis_B,BMI,Polio,total_expenditure,Diphtheria,GDP,Schooling,vaccine_total,vaccine_coverage_over_ave
Antigua and Barbuda,Developing,76.1,133,8.58,1991.430372,99,46.4,98,5.33,99,12224.86416,13.9,296,1
Antigua and Barbuda,Developing,75.9,134,8.18,2156.229842,98,45.7,97,5.39,98,12565.44197,13.8,293,1
Antigua and Barbuda,Developing,75.7,136,7.84,1810.875316,99,45.1,99,5.65,99,11929.34991,14.1,297,1
Antigua and Barbuda,Developing,75.6,138,7.84,1983.956937,98,44.4,99,5.63,98,12126.87614,14.1,295,1
Antigua and Barbuda,Developing,75.4,14,7.82,149.3587355,98,43.8,98,4.86,99,1312.46692,14.2,295,1
Antigua and Barbuda,Developing,75.2,142,8.27,180.7762695,98,43.2,99,4.69,99,1473.31923,14.4,296,1
Antigua and Barbuda,Developing,75,144,8.64,257.9665308,97,42.6,98,4.27,99,14252.29452,14.5,294,1
Antigua and Barbuda,Developing,74.8,145,8.93,216.3146941,99,42,99,4.34,99,12724.39377,14.7,297,1
Argentina,Developing,76.2,118,7.93,847.3717463,94,62.2,92,4.79,94,12245.25645,17.3,280,1
Argentina,Developing,76,119,8.28,1001.796332,94,61.6,99,4.99,94,12976.63642,17.3,287,1
Argentina,Developing,75.9,12,8.35,1133.558003,91,61,99,5.2,91,12969.7712,17.2,281,1
Argentina,Developing,75.7,12,8.11,1504.329462,91,6.4,93,5.89,91,12726.9836,17.1,275,1
Argentina,Developing,75.5,121,8.15,187.610955,94,59.8,95,6.55,94,1276.265,16.8,283,1
Argentina,Developing,75.6,126,8.33,1398.042623,94,59.2,97,7.63,94,8161.36966,16.5,285,1
Argentina,Developing,75.4,126,8.41,1413.73543,9,58.6,94,6.66,93,8953.359275,16.3,196,0
Argentina,Developing,74.8,129,8.16,1105.659031,85,58,92,6.49,91,7193.61764,16.3,268,1
Argentina,Developing,75.2,127,7.75,961.1774676,84,57.5,92,6.68,91,5878.76127,16.1,267,1
Argentina,Developing,74.9,127,7.53,96.16653429,88,56.9,95,6.85,98,576.883829,16.3,281,1
Argentina,Developing,74.7,13,7.63,719.3663797,81,56.3,91,6.84,98,4251.574348,16.3,270,1
Argentina,Developing,74.1,137,7.62,57.58467352,73,55.7,95,8.22,96,333.4376,16.4,264,1
Argentina,Developing,74.1,138,7.81,470.1869145,66,55.1,94,8.31,93,2579.193168,16.3,253,1
Armenia,Developing,74.6,12,3.91,295.6087143,93,54.1,95,4.48,93,3994.712355,12.7,281,1
Armenia,Developing,74.4,123,3.79,279.4290812,95,53.3,96,4.55,95,3843.591213,12.7,286,1
Armenia,Developing,74.4,121,3.89,274.1526986,95,52.6,96,4.48,95,3684.8481,12.7,286,1
Armenia,Developing,73.9,128,4.09,260.9963826,95,51.9,96,3.71,95,3526.978143,12.7,286,1
Armenia,Developing,73.5,132,4.23,224.3212014,94,51.2,96,4.56,94,3218.381655,12.3,284,1
Armenia,Developing,73.3,137,3.96,201.1855461,93,5.7,94,4.55,93,2993.832531,11.9,280,1
Armenia,Developing,73.2,14,3.96,2.8888979,89,5.1,91,3.8,89,41.26997,12.3,269,1
Armenia,Developing,73.5,132,3.99,44.57219966,85,49.7,9,4.31,88,3138.8873,11.7,182,0
Armenia,Developing,72.9,141,4.01,244.5352767,78,49.2,87,4.58,87,2158.299,11.2,252,1
Armenia,Developing,73,137,4.25,20.21822828,91,48.8,92,5.25,9,1643.758397,10.9,192,0
Armenia,Developing,73,132,3.81,97.74087744,91,48.4,93,5.5,91,1191.96192,10.9,275,1
Armenia,Developing,72.7,134,3.03,7.341493148,93,48.1,96,5.56,94,93.1661567,10.8,283,1
Armenia,Developing,72.6,134,2.86,57.17810403,91,47.8,96,5.4,94,783.261699,10.8,281,1
Armenia,Developing,72.6,141,2.86,53.19373012,69,47.4,97,5.94,94,694.435119,11.1,260,1
Armenia,Developing,72,142,2.9,32.75626853,55,47.1,96,6.25,93,622.7427477,11.2,244,0
Australia,Developed,82.7,6,9.71,10769.36305,91,66.1,92,9.42,92,62214.6912,20.4,275,1
Australia,Developed,82.5,61,9.87,11734.85381,91,65.5,91,9.36,91,67792.3386,20.3,273,1
Australia,Developed,82.3,61,10.03,11714.99858,91,65,92,9.36,92,67677.63477,20.1,275,1
Australia,Developed,82,63,10.3,10986.26527,92,64.4,92,9.2,92,62245.129,19.8,276,1
Australia,Developed,81.9,64,10.52,8875.786493,92,63.9,92,9.2,92,51874.848,19.5,276,1
Australia,Developed,81.7,66,10.62,7172.275229,94,63.4,92,9.5,92,42742.99898,19.1,278,1
Australia,Developed,81.3,66,10.76,8547.292357,94,62.9,92,8.78,92,49664.6854,19.1,278,1
Australia,Developed,81.3,66,10.56,872.5986092,94,62.5,92,8.53,92,4991.98289,19,278,1
Australia,Developed,81.2,66,10.31,6187.062017,95,62,92,8.49,92,36118.28381,20.3,279,1
Australia,Developed,81,67,10.3,579.1331637,95,61.5,92,8.45,92,3416.71483,20.3,279,1
Australia,Developed,86,69,9.84,588.568371,95,6.9,92,8.57,92,3472.37977,20.7,279,1
Australia,Developed,83,71,9.97,3829.550928,95,6.3,92,8.32,93,23465.38559,20.6,280,1
Australia,Developed,79.9,73,9.84,46.3871819,95,59.6,92,8.39,92,281.81763,20.1,279,1
Australia,Developed,79.9,75,9.53,3064.301144,94,59,91,8.18,92,19517.84168,20.5,277,1
Austria,Developed,81.4,66,12.32,8350.193523,98,57.1,98,11.21,98,51322.63997,15.9,294,1
Austria,Developed,81.1,68,11.82,90.58501176,95,56.6,95,11.14,95,554.71532,15.7,285,1
Austria,Developed,88,7,12.26,7878.372355,92,56.1,92,11.17,92,48333.57273,15.7,276,1
Austria,Developed,88,73,12.04,8272.306757,89,55.7,89,1.94,89,51126.74139,15.7,267,1
Austria,Developed,84,75,12.1,7423.228774,86,55.2,86,11.17,86,46657.629,15.4,258,1
Austria,Developed,82,77,11.3,8053.557638,83,54.7,83,11.19,83,47654.18721,15.3,249,0
Austria,Developed,84,76,12,8329.731655,83,54.2,83,1.6,83,51386.37665,15.1,249,0
Austria,Developed,81,8,12.5,7453.8644,85,53.7,85,1.4,85,46586.6525,15.2,255,1
Austria,Developed,79.8,81,12.4,69.92899358,83,53.2,83,1.35,83,443.99361,15,249,0
Austria,Developed,79.4,85,12.4,5992.588029,86,52.7,86,1.53,86,38242.4252,14.9,258,1
Austria,Developed,79.3,86,12.1,5316.877456,83,52.2,83,1.56,83,36693.4262,14.7,249,0
Austria,Developed,78.8,88,12.2,504.4308735,83,51.7,84,1.48,84,3212.9355,14.7,251,1
Austria,Developed,78.7,9,12.5,3979.057728,81,51.2,82,1.27,83,26351.37568,16.1,246,0
Austria,Developed,78.6,92,12.4,3582.848308,44,5.6,83,1.12,84,24489.73553,15.5,211,0
Austria,Developed,78.1,96,13.2,3557.455507,33,5.1,71,1.6,81,24517.26745,15.4,185,0
Azerbaijan,Developing,72.5,119,0.01,306.1824313,94,51.5,97,6.4,94,7891.299776,12.2,285,1
Azerbaijan,Developing,72.2,121,2.14,275.6514934,93,5.6,96,5.54,93,7875.756953,11.9,282,1
Azerbaijan,Developing,71.9,123,0.01,285.6103912,88,49.7,92,5.37,89,7496.335728,11.8,269,1
Azerbaijan,Developing,71.6,125,1.98,263.142699,84,48.8,91,5.1,87,7189.691229,11.7,262,1
Azerbaijan,Developing,71.1,13,1.98,246.5686008,8,48,85,5.33,81,5842.85784,11.7,174,0
Azerbaijan,Developing,78,132,2.1,22.48638351,74,47.3,84,5.85,81,495.294791,11.6,239,0
Azerbaijan,Developing,73,141,1.18,206.2616134,68,46.6,85,4.37,81,5574.6382,11.6,234,0
Azerbaijan,Developing,73,14,1.02,176.0107106,62,45.9,81,5.1,79,3851.437869,11.6,222,0
Azerbaijan,Developing,69.2,154,0.85,105.6337264,52,45.3,8,6.17,78,2473.85776,10.7,138,0
Azerbaijan,Developing,68.4,162,0.73,81.28883085,49,44.7,79,7.86,75,1578.4239,11.2,203,0
Azerbaijan,Developing,68.4,154,0.62,8.59680496,5,44.2,78,7.92,77,145.2163,11,160,0
Azerbaijan,Developing,67.8,154,0.55,42.41491183,51,43.6,79,6.56,77,883.6439965,10.8,207,0
Azerbaijan,Developing,67.8,146,0.55,39.33253687,5,43.1,8,4.47,76,763.73858,10.6,89,0
Bahrain,Developing,76.8,7,1.57,367.2556742,98,62.9,98,4.98,98,24983.3792,14.5,294,1
Bahrain,Developing,76.7,7,1.65,3.968695982,99,62.2,99,4.69,99,251.18329,14.5,297,1
Bahrain,Developing,76.5,71,1.7,2211.2157779999998,99,61.5,99,4.37,99,23649.36661,14.5,297,1
Bahrain,Developing,76.1,76,1.66,197.7734681,99,6.8,99,3.4,99,2281.1242,14.4,297,1
Bahrain,Developing,76.1,73,1.93,266.7696122,99,6.1,99,3.64,99,2722.1389,14.4,297,1
Bahrain,Developing,76,74,1.95,332.9347646,98,59.3,97,3.79,98,19356.67236,14.4,293,1
Bahrain,Developing,75.8,76,2,231.5478912,97,58.5,97,3.17,97,2367.56535,14.4,291,1
Bahrain,Developing,75.6,77,2,278.3602806,97,57.6,97,3.8,97,2977.1153,14.4,291,1
Bahrain,Developing,75.5,79,2.1,170.7374027,98,56.8,98,3.8,98,1937.99549,14.2,294,1
Bahrain,Developing,75.3,81,2.05,1553.468944,98,56.1,98,3.16,98,17959.17854,14,294,1
Bahrain,Developing,75.2,83,2.16,1380.228095,98,55.6,98,3.37,98,15846.47641,13.9,294,1
Bahrain,Developing,75,85,2.16,1214.558167,98,55.2,97,3.74,97,14221.99259,13.7,292,1
Bahrain,Developing,74.9,87,1.99,106.4303336,98,55,98,3.89,98,1312.33457,13.5,294,1
Bahrain,Developing,74.7,9,1.95,1150.418063,99,54.8,99,3.8,99,12868.211,13.3,297,1
Bahrain,Developing,74.5,92,2.15,167.7270642,97,54.5,97,3.51,97,13636.34668,13.2,291,1
Bangladesh,Developing,71.4,132,0.01,10.44640334,97,17.7,97,2.82,97,184.56543,10,291,1
Bangladesh,Developing,71,135,0.01,52.82986467,96,17,96,2.88,96,951.8894535,10,288,1
Bangladesh,Developing,77,137,0.01,59.2589257,94,16.4,94,3.8,94,856.342857,9.9,282,1
Bangladesh,Developing,73,14,0.01,62.34988484,96,15.8,96,3.16,96,835.789341,9.4,288,1
Bangladesh,Developing,69.9,142,0.01,62.65945432,94,15.2,94,3.6,94,757.6717572,8.9,282,1
Bangladesh,Developing,69.5,144,0.01,53.26400378,97,14.6,97,2.91,97,681.125368,8.4,291,1
Bangladesh,Developing,69.1,147,0.01,42.48865034,96,14,96,2.85,96,615.7775411,8.6,288,1
Bangladesh,Developing,68.6,151,0.01,46.36536703,95,13.5,96,2.8,94,541.651484,8.6,285,1
Bangladesh,Developing,68.2,152,0.01,42.3304549,86,13,95,2.8,94,494.51466,8.4,275,1
Bangladesh,Developing,67.8,155,0.01,38.05462002,45,12.5,94,2.68,93,484.155471,8.2,232,0
Bangladesh,Developing,67.3,158,0.01,4.11469667,11,12,88,2.62,99,46.7579167,8.1,198,0
Bangladesh,Developing,66.8,161,0.01,35.48458957,5,11.6,9,2.51,87,432.7388972,7.9,101,0
Barbados,Developing,75.4,1,8.82,294.9056584,94,53.7,95,7.47,94,15359.66971,15.3,283,1
Barbados,Developing,75.2,11,8.74,263.0372838,91,53,91,7.57,91,15472.7814,15.3,273,1
Barbados,Developing,75.1,12,8.61,260.0043858,87,52.2,88,7.43,87,15384.8749,15.3,262,1
Barbados,Developing,74.9,14,8.51,173.9825629,91,51.4,91,6.67,91,15534.1574,15.5,273,1
Barbados,Developing,74.7,16,8.41,154.9630863,86,5.7,9,6.17,86,1595.91232,15.8,181,0
Barbados,Developing,74.6,19,8.46,327.1618128,93,49.9,93,6.21,93,16523.32388,15.5,279,1
Barbados,Developing,74.4,111,8.95,25.52277112,85,49.2,85,6.1,85,1657.3228,15.3,255,1
Barbados,Developing,74.2,113,8.47,1641.30981,93,48.4,93,5.64,93,16462.48556,15,279,1
Barbados,Developing,74.1,115,8.39,181.5000856,84,47.7,85,5.27,84,15646.5591,14.8,253,1
Barbados,Developing,73.9,117,8.01,1311.440423,92,46.9,91,5.38,92,14223.86576,14.6,275,1
Barbados,Developing,73.8,119,7.68,166.0083443,93,46.2,93,5.71,93,12868.8639,14.4,279,1
Barbados,Developing,73.7,121,7.65,13.5139917,91,45.4,9,5.82,89,1228.5447,14.2,189,0
Barbados,Developing,73.5,123,7.59,133.099491,66,44.6,86,5.76,87,11675.39395,14,239,0
Barbados,Developing,73.4,125,7.38,138.1664627,18,43.8,93,5.47,84,11513.87189,14,195,0
Belarus,Developing,72,199,13.94,1147.1114,97,61.7,97,5.69,97,8318.429294,15.7,291,1
Belarus,Developing,71.7,23,14.66,1109.854619,98,61.1,98,6.7,98,7978.825443,15.7,294,1
Belarus,Developing,71.9,194,16.35,91.70962117,97,6.5,98,5.1,98,694.243915,15.6,293,1
Belarus,Developing,72,232,17.31,846.9113071,98,59.9,98,4.92,98,6519.71753,15.5,294,1
Belarus,Developing,73,222,14.44,8.49409518,96,59.3,99,5.55,98,63.38877,15.5,293,1
Belarus,Developing,70,226,14.09,434.7985025,98,58.7,98,6.9,96,5176.172649,15.4,292,1
Belarus,Developing,70,224,14.67,501.8056141,98,58.2,98,5.95,97,6376.183153,15.1,293,1
Belarus,Developing,69.8,226,14.22,464.077513,91,57.7,9,6.44,95,4735.484827,14.9,195,0
Belarus,Developing,68.9,243,12.6,364.426052,98,57.2,97,6.34,99,3848.215966,14.6,294,1
Belarus,Developing,68.1,252,11.01,45.65007798,99,56.7,98,6.89,99,3126.71767,14.4,296,1
Belarus,Developing,68.2,247,12.05,42.33443901,99,56.2,99,6.59,99,2378.33927,14.1,297,1
Belarus,Developing,67.7,253,11.17,23.83578594,56,55.8,53,6.59,5,1819.525644,13.9,114,0
Belarus,Developing,67.2,262,12.23,145.4233629,99,55.3,99,6.47,99,1479.383142,13.6,297,1
Belarus,Developing,67.7,254,10.74,14.06141699,93,54.9,99,6.62,99,1244.373185,13.3,291,1
Belarus,Developing,68,247,12.98,24.24947846,7,54.4,99,6.13,99,1276.28834,13.1,205,0
Belgium,Developed,89,76,12.6,7163.348923,98,63.4,99,1.59,99,47439.39684,16.3,296,1
Belgium,Developed,87,77,11.77,702.359357,98,63,99,1.57,99,4651.38647,16.3,296,1
Belgium,Developed,83,78,10.08,664.4738975,98,62.6,99,1.54,99,4474.5717,16.2,296,1
Belgium,Developed,83,8,10.11,713.5297354,97,62.3,98,1.42,98,4772.77415,16.1,293,1
Belgium,Developed,80,81,10.22,665.7356115,97,61.9,98,1.17,98,4438.23741,15.9,293,1
Belgium,Developed,79.8,85,10.05,671.9376566,97,61.6,98,1.39,98,4488.5615,15.8,293,1
Belgium,Developed,79.5,87,10.47,7191.051507,98,61.3,99,9.6,99,48424.58927,15.8,296,1
Belgium,Developed,79.5,86,10.25,640.3560918,94,6.9,99,9.25,98,4443.83131,15.8,291,1
Belgium,Developed,79.4,85,10.98,5579.199083,94,6.6,99,9.17,98,38852.3613,15.7,291,1
Belgium,Developed,78.9,89,12.27,5068.214488,77,6.2,97,9.24,97,36967.28292,15.7,271,1
Belgium,Developed,78.8,91,12.05,5160.508378,64,59.8,96,9.32,95,35589.71295,18.8,255,1
Belgium,Developed,78.3,95,11.28,507.306164,64,59.4,96,9.3,95,3743.95693,18.6,255,1
Belgium,Developed,78,99,11.29,320.3177664,6,59,96,8.46,95,2552.3328,18.8,197,0
Belgium,Developed,78,1,11.01,2943.375396,6,58.5,96,8.29,95,23121.56635,18.2,197,0
Belgium,Developed,77.6,11,11.21,287.2084529,6,58.1,96,8.12,95,2327.4591,18,197,0
Belize,Developing,70,177,6.58,670.0920883,95,5.1,95,5.79,95,4852.223666,12.8,285,1
Belize,Developing,69.8,18,6.56,629.2018591,95,49.3,95,5.79,95,4688.538443,12.9,285,1
Belize,Developing,69.4,189,6.66,582.8027185,98,48.5,98,5.45,98,4673.63848,12.5,294,1
Belize,Developing,69.4,188,6.64,605.6286892,95,47.8,95,5.61,95,4516.24675,12.4,285,1
Belize,Developing,69.5,186,6.76,569.9527122,96,47,96,5.85,96,4344.15177,12.4,288,1
Belize,Developing,69.5,184,6.85,549.8096097,97,46.3,98,5.81,97,4258.788611,12.7,292,1
Belize,Developing,69.6,181,7.22,51.25232422,94,45.7,94,5.9,94,447.22796,12.8,282,1
Belize,Developing,69.6,181,7.24,69.63051047,96,45,97,4.76,96,4324.876427,12.8,289,1
Belize,Developing,69.4,184,6.48,387.3324928,98,44.4,98,4.4,98,4187.3783,12.3,294,1
Belize,Developing,69,191,6.25,365.799896,96,43.8,96,4.45,96,3933.332215,12.8,288,1
Belize,Developing,68.7,197,6.2,325.6807462,97,43.2,97,4.39,97,3831.53819,12.5,291,1
Belize,Developing,68.4,21,5.67,312.7995946,96,42.6,95,4.53,96,3679.99523,12.2,287,1
Belize,Developing,68.5,199,4.99,262.8299189,97,42,93,4.38,89,3556.561825,11.9,279,1
Belize,Developing,68.2,21,4.9,251.6586929,96,41.4,96,4.5,96,3419.275719,11.8,288,1
Belize,Developing,68.3,196,4.79,219.0239836,76,4.8,91,3.98,91,3364.423711,11.7,258,1
Benin,Developing,59.7,252,0.01,90.12206791,78,25.2,74,4.59,78,943.686575,10.7,230,0
Benin,Developing,59.5,251,0.01,87.4080423,77,24.6,73,4.59,77,915.2674586,10.3,227,0
Benin,Developing,59.3,251,0.01,9.80407467,8,24.1,8,4.86,8,837.9551,10,24,0
Benin,Developing,59.1,251,1.4,110.2633619,75,23.5,77,5.37,75,825.9427854,9.8,227,0
Benin,Developing,58.7,254,1.33,94.25737917,76,23,77,4.95,76,757.695974,9.5,229,0
Benin,Developing,58.4,259,1.16,71.01399249,79,22.5,8,4.46,79,793.45243,9.3,166,0
Benin,Developing,57.6,278,1.28,7.615430126,75,22,77,4.2,75,82.1513498,9.1,227,0
Benin,Developing,57.1,283,1.12,7.49281752,82,21.5,82,4.55,82,76.535419,8.9,246,0
Benin,Developing,56.8,284,1.19,75.91429496,74,21,76,4.75,74,625.8392,8.7,224,0
Benin,Developing,56.5,285,1.13,7.106997355,7,2.5,73,4.73,7,61.799977,8.5,87,0
Benin,Developing,56.1,285,1.15,10.73628066,75,2.1,74,4.56,72,583.493514,8.1,221,0
Benin,Developing,55.8,285,1.35,8.931827297,73,19.7,75,4.63,73,519.2922847,7.7,221,0
Benin,Developing,55.6,283,1.23,40.48815233,15,19.2,76,4.27,75,418.6985763,7.3,166,0
Bhutan,Developing,69.4,216,0.01,209.3921344,99,23.6,98,3.57,99,2522.7968,12.5,296,1
Bhutan,Developing,69.1,219,0.01,19.79057439,97,22.7,97,3.83,97,235.882889,12.6,291,1
Bhutan,Developing,68.7,223,0.01,188.7373664,97,21.9,97,3.7,97,2422.816,12.3,291,1
Bhutan,Developing,68.3,225,0.23,289.8524057,95,21.1,95,4.73,95,2458.45976,11.9,285,1
Bhutan,Developing,67.9,228,0.28,244.0391949,91,2.3,92,5.17,91,2178.921383,11.4,274,1
Bhutan,Developing,67.4,232,0.17,27.48907048,93,19.5,93,6.3,93,177.234497,10.9,279,1
Bhutan,Developing,67,234,0.21,302.667579,96,18.8,96,6.58,96,1795.18137,10.5,288,1
Bhutan,Developing,66.5,238,0.16,283.806236,95,18,93,5.88,95,1741.142552,10.1,283,1
Bhutan,Developing,65.8,245,0.29,169.2023968,95,17.4,96,5.27,95,1335.45696,9.6,286,1
Bhutan,Developing,65,254,0.73,145.5965445,95,16.7,95,5.28,95,1247.61392,9.2,285,1
Bhutan,Developing,64.2,263,0.96,2.586698228,89,16.1,9,4.41,89,197.45788,8.8,187,0
Bhutan,Developing,63.3,273,0.52,19.15664091,95,15.5,96,4.9,95,997.7417141,8.4,286,1
Bhutan,Developing,62.5,282,0.29,151.9755193,83,14.9,89,7.75,86,885.6382245,8,258,1
Bhutan,Developing,61.7,29,0.14,8.574029812,89,14.4,88,5.91,88,87.9387673,7.6,265,1
Bhutan,Developing,62,312,0.17,93.35872844,98,13.9,98,6.91,92,765.8632358,7.3,288,1
Bosnia and Herzegovina,Developing,77.2,89,4.03,732.8662491,89,55.3,86,9.57,86,5193.94932,14.2,261,1
Bosnia and Herzegovina,Developing,77,9,4.12,75.61062911,91,54.7,87,9.46,89,535.86555,14.2,267,1
Bosnia and Herzegovina,Developing,76.8,92,4.61,693.8226461,92,54.2,87,9.94,92,4716.673325,13.9,271,1
Bosnia and Herzegovina,Developing,76.9,92,4.64,7.959131146,88,53.7,89,9.71,88,55.156834,13.4,265,1
Bosnia and Herzegovina,Developing,76.4,94,4.54,630.3883564,89,53.1,9,9.58,89,4611.47298,13.3,187,0
Bosnia and Herzegovina,Developing,76.1,97,4.75,645.021302,9,52.6,9,9.64,9,4697.89732,13.3,27,0
Bosnia and Herzegovina,Developing,76,98,5.13,66.04635027,88,52.1,92,8.58,91,575.31664,13.1,271,1
Bosnia and Herzegovina,Developing,75.4,16,5.16,8.240355867,94,51.5,95,8.37,95,418.292176,12.9,284,1
Bosnia and Herzegovina,Developing,75.7,1,4.82,38.25414065,9,51,91,8.28,87,344.321698,12.7,187,0
Bosnia and Herzegovina,Developing,75,12,4.56,45.71354264,93,5.5,95,8.5,93,2968.41186,12.5,281,1
Bosnia and Herzegovina,Developing,75.5,99,4.25,3.479918859,36,49.9,87,9.4,84,265.642661,12.3,207,0
Botswana,Developing,65.1,268,0.01,662.802194,95,37.3,96,5.41,95,7497.762376,12.6,286,1
Botswana,Developing,64.2,286,0.01,1.117811275,95,36.8,96,5.84,95,77.625783,12.6,286,1
Botswana,Developing,63.4,3,0.01,12.83447357,95,36.2,96,6.27,95,729.231453,12.5,286,1
Botswana,Developing,62.2,325,5.76,668.9562854,95,35.7,96,5.25,95,7645.21469,12.4,286,1
Botswana,Developing,61.1,349,5.99,547.0386679,95,35.2,96,5.64,95,6346.15624,12.3,286,1
Botswana,Developing,59.2,393,5.01,426.7855662,94,34.7,96,6.39,96,5185.729845,12.2,286,1
Botswana,Developing,57.5,427,6.56,476.8625872,94,34.2,96,5.55,96,5623.379566,12.1,286,1
